ms_subclass,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,land_slope,condition_1,condition_2,bldg_type,overall_qual,overall_cond,year_built,year_remod/add,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating_qc,central_air,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,misc_feature,misc_val,mo_sold,yr_sold,saleprice,porch_total,neighborhood_Blmngtn,neighborhood_Blueste,neighborhood_BrDale,neighborhood_BrkSide,neighborhood_ClearCr,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Greens,neighborhood_GrnHill,neighborhood_IDOTRR,neighborhood_Landmrk,neighborhood_MeadowV,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NPkVill,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_SWISU,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,neighborhood_Veenker,house_style_1.5Fin,house_style_1.5Unf,house_style_1Story,house_style_2.5Fin,house_style_2.5Unf,house_style_2Story,house_style_SFoyer,house_style_SLvl,roof_style_Flat,roof_style_Gable,roof_style_Gambrel,roof_style_Hip,roof_style_Mansard,roof_style_Shed,roof_matl_ClyTile,roof_matl_CompShg,roof_matl_Membran,roof_matl_Tar&Grv,roof_matl_WdShake,roof_matl_WdShngl,heating_GasA,heating_GasW,heating_Grav,heating_OthW,heating_Wall,lot_config_Corner,lot_config_CulDSac,lot_config_FR2,lot_config_FR3,lot_config_Inside,electrical_FuseA,electrical_FuseF,electrical_FuseP,electrical_Mix,electrical_SBrkr,fence_GdPrv,fence_GdWo,fence_MnPrv,fence_MnWw,fence_No Fence,ms_zoning_A (agr),ms_zoning_C (all),ms_zoning_FV,ms_zoning_I (all),ms_zoning_RH,ms_zoning_RL,ms_zoning_RM,sale_type_COD,sale_type_CWD,sale_type_Con,sale_type_ConLD,sale_type_ConLI,sale_type_ConLw,sale_type_New,sale_type_Oth,sale_type_WD 
160,21.0,1680,Pave,No_alley,Reg,Lvl,AllPub,Gtl,Norm,Norm,Twnhs,6,5,1971,1971,HdBoard,HdBoard,BrkFace,232.0,3,TA,CBlock,3,3,1,5,387.0,1,0.0,96.0,483.0,3,Y,483,504,0,987,0.0,0.0,1,1,2,1,3,4,Typ,0,0,Detchd,1971.0,1,1.0,264.0,3,3,Y,0,0,0,0,0,0,0,None,0,7,2008,85400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
20,64.0,7488,Pave,No_alley,IR1,Lvl,AllPub,Gtl,Norm,Norm,1Fam,7,5,2005,2005,VinylSd,VinylSd,None,0.0,4,TA,PConc,4,3,3,6,393.0,1,0.0,815.0,1208.0,5,Y,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,Typ,0,0,Attchd,2005.0,2,2.0,632.0,3,3,Y,105,58,0,0,0,0,0,None,0,2,2006,183600,163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
70,120.0,26400,Pave,No_alley,Reg,Bnk,AllPub,Gtl,Feedr,Norm,1Fam,5,7,1880,2007,HdBoard,HdBoard,None,0.0,4,TA,PConc,0,0,0,0,0.0,0,0.0,0.0,0.0,5,Y,1288,728,0,2016,0.0,0.0,1,0,4,1,3,7,Mod,1,3,Attchd,1900.0,1,2.0,576.0,3,3,P,0,0,0,0,0,0,0,None,0,6,2009,131000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
160,24.0,2645,Pave,Pave,Reg,Lvl,AllPub,Gtl,Norm,Norm,Twnhs,8,5,1999,2000,MetalSd,MetalSd,BrkFace,456.0,4,TA,PConc,4,3,1,6,813.0,1,0.0,147.0,960.0,5,Y,962,645,0,1607,1.0,0.0,2,1,3,1,4,7,Typ,0,0,Detchd,2000.0,1,2.0,480.0,3,3,Y,169,0,0,0,0,0,0,None,0,12,2008,200000,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
20,74.0,9627,Pave,No_alley,Reg,Lvl,AllPub,Gtl,Norm,Norm,1Fam,7,5,2007,2007,VinylSd,VinylSd,None,0.0,4,TA,PConc,4,3,3,6,24.0,1,0.0,1327.0,1351.0,5,Y,1361,0,0,1361,0.0,0.0,2,0,3,1,4,6,Typ,0,0,Attchd,2007.0,2,2.0,610.0,3,3,Y,0,50,0,0,0,0,0,None,0,6,2008,193000,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
20,93.0,10114,Pave,No_alley,Reg,Lvl,AllPub,Gtl,Norm,Norm,1Fam,5,5,2004,2005,VinylSd,VinylSd,None,0.0,3,TA,PConc,5,3,3,1,0.0,1,0.0,1430.0,1430.0,5,Y,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,Typ,0,0,Attchd,2004.0,2,2.0,624.0,3,3,Y,0,0,0,0,0,0,0,None,0,3,2010,173500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
70,34.0,4571,Pave,Grvl,Reg,Lvl,AllPub,Gtl,Norm,Norm,1Fam,5,5,1916,1950,AsbShng,AsbShng,None,0.0,3,TA,BrkTil,3,3,1,1,0.0,1,0.0,624.0,624.0,2,N,624,720,0,1344,0.0,0.0,1,0,4,1,3,7,Typ,0,0,Detchd,1916.0,1,3.0,513.0,2,2,Y,0,0,96,0,0,0,0,None,0,5,2008,98000,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
20,80.0,8816,Pave,No_alley,Reg,Lvl,AllPub,Gtl,Feedr,Norm,1Fam,5,6,1963,1963,VinylSd,VinylSd,None,0.0,3,TA,PConc,3,3,1,3,651.0,1,0.0,470.0,1121.0,3,Y,1121,0,0,1121,1.0,0.0,1,0,3,1,3,5,Typ,0,0,Detchd,1963.0,1,2.0,480.0,3,3,Y,0,80,0,0,0,0,0,None,0,6,2009,139000,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
20,71.0,8197,Pave,No_alley,Reg,Lvl,AllPub,Gtl,Norm,Norm,1Fam,6,5,1977,1977,Plywood,Plywood,BrkFace,148.0,3,TA,CBlock,3,3,1,1,0.0,1,0.0,660.0,660.0,5,Y,1285,0,0,1285,0.0,0.0,1,1,3,1,3,7,Typ,1,3,Attchd,1977.0,2,2.0,528.0,3,3,Y,138,0,0,0,0,0,0,None,0,4,2007,143500,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
60,72.0,8640,Pave,No_alley,Reg,Lvl,AllPub,Gtl,Norm,Norm,1Fam,7,5,2009,2009,VinylSd,VinylSd,None,0.0,3,TA,PConc,4,3,2,6,24.0,1,0.0,732.0,756.0,5,Y,764,783,0,1547,0.0,0.0,2,1,3,1,4,7,Typ,0,0,Attchd,2009.0,1,2.0,614.0,3,3,Y,169,45,0,0,0,0,0,None,0,6,2010,215200,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
20,109.0,8724,Pave,No_alley,Reg,Lvl,AllPub,Gtl,Norm,Norm,1Fam,5,5,1968,1968,VinylSd,VinylSd,None,0.0,3,TA,CBlock,4,3,1,4,492.0,1,0.0,402.0,894.0,4,Y,894,0,0,894,0.0,0.0,1,0,3,1,3,5,Typ,1,1,Attchd,1968.0,3,2.0,450.0,3,3,Y,0,0,0,0,0,0,0,None,0,5,2007,129000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
120,40.0,5664,Pave,No_alley,IR1,Lvl,AllPub,Gtl,Norm,Norm,TwnhsE,8,5,2000,2000,CemntBd,CmentBd,None,0.0,4,TA,PConc,4,3,1,6,1158.0,1,0.0,343.0,1501.0,5,Y,1659,0,0,1659,1.0,0.0,2,0,2,1,5,5,Typ,1,5,Attchd,2000.0,3,2.0,499.0,3,3,Y,212,59,0,0,0,0,0,None,0,10,2009,278000,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
60,103.0,12867,Pave,No_alley,IR1,Lvl,AllPub,Gtl,Norm,Norm,1Fam,8,5,2005,2006,CemntBd,CmentBd,None,99.69590931493346,4,TA,PConc,5,3,3,1,0.0,1,0.0,1209.0,1209.0,5,Y,1209,1044,0,2253,0.0,0.0,2,1,3,1,5,8,Typ,1,4,Attchd,2005.0,3,2.0,575.0,3,3,Y,243,142,0,0,0,0,0,None,0,7,2006,344133,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
20,69.05520046484602,7980,Pave,No_alley,IR1,Lvl,AllPub,Gtl,Norm,Norm,1Fam,6,7,1992,2007,HdBoard,HdBoard,None,0.0,3,Gd,PConc,4,3,1,5,935.0,1,0.0,233.0,1168.0,5,Y,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,Typ,0,0,Attchd,1992.0,3,2.0,420.0,3,3,Y,483,21,0,0,0,0,0,Shed,500,3,2010,185000,504,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
190,100.0,34650,Pave,No_alley,Reg,Bnk,AllPub,Gtl,Norm,Norm,2fmCon,5,5,1955,1955,Wd Sdng,Wd Sdng,None,0.0,3,TA,CBlock,3,3,2,3,1056.0,1,0.0,0.0,1056.0,3,N,1056,0,0,1056,1.0,0.0,1,0,3,1,3,5,Typ,0,0,Attchd,1955.0,3,2.0,572.0,3,3,Y,264,0,0,0,0,0,0,None,0,1,2006,145000,264,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
20,92.0,10573,Pave,No_alley,IR1,Lvl,AllPub,Gtl,Norm,Norm,1Fam,6,6,1961,1961,MetalSd,MetalSd,BrkFace,3.0,3,TA,CBlock,3,3,1,3,1312.0,1,0.0,141.0,1453.0,5,Y,1453,0,0,1453,1.0,0.0,2,0,3,1,3,6,Typ,1,3,Attchd,1961.0,2,2.0,530.0,3,3,Y,0,49,0,0,288,0,0,None,0,4,2009,187500,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
20,65.0,8450,Pave,No_alley,Reg,Lvl,AllPub,Gtl,RRAe,Norm,1Fam,5,8,1965,2009,MetalSd,MetalSd,None,0.0,3,Gd,CBlock,3,3,1,6,553.0,4,117.0,224.0,894.0,5,Y,894,0,0,894,1.0,0.0,1,0,3,1,3,5,Typ,1,4,Detchd,1973.0,1,1.0,336.0,3,3,Y,416,144,0,0,0,0,0,None,0,4,2010,138500,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
50,69.05520046484602,11700,Pave,Grvl,IR1,HLS,AllPub,Mod,Norm,Norm,1Fam,5,6,1937,1995,WdShing,Wd Shng,None,0.0,3,TA,CBlock,3,3,1,4,606.0,1,0.0,336.0,942.0,5,Y,1265,673,0,1938,0.0,0.0,2,0,4,1,4,7,Min2,1,4,Detchd,1937.0,1,1.0,240.0,3,3,Y,0,40,0,0,0,0,0,None,0,7,2008,198000,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
190,75.0,8250,Pave,No_alley,Reg,Lvl,AllPub,Gtl,Feedr,Norm,2fmCon,5,6,1895,2006,VinylSd,VinylSd,None,0.0,3,Gd,CBlock,3,3,1,1,0.0,1,0.0,957.0,957.0,2,N,1034,957,0,1991,0.0,0.0,2,0,4,2,3,9,Typ,0,0,No Garage,1978.7077955601446,0,0.0,0.0,0,0,N,0,0,133,0,0,0,0,None,0,6,2007,119600,133,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
